date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,Đồng Nai,42,77,60,3,33,98,59,62,96,52,80,53,15,44,59,24,10,16
2025-07-16,Cần Thơ,59,17,14,84,2,21,49,9,51,14,25,28,37,45,45,7,37,46
2025-07-16,Sóc Trăng,93,45,64,31,70,25,10,68,71,63,23,90,47,52,9,84,12,91
2025-07-17,Tây Ninh,50,32,66,54,20,97,86,63,48,5,50,56,23,96,43,38,73,71
2025-07-17,An Giang,28,96,6,23,50,78,0,90,96,11,40,79,95,58,57,16,67,32
2025-07-17,Bình Thuận,83,39,52,98,31,88,6,83,56,15,49,38,80,58,51,38,59,78
2025-07-18,Vĩnh Long,92,16,18,97,48,84,6,67,68,87,34,18,96,83,20,2,20,0
2025-07-18,Bình Dương,82,14,79,34,75,94,36,21,72,94,3,26,46,6,14,46,50,18
2025-07-18,Trà Vinh,38,43,15,50,53,74,53,76,23,35,39,41,98,3,51,77,89,84
2025-07-19,TPHCM,53,23,82,75,42,65,13,29,90,95,48,58,0,20,23,2,25,61
2025-07-19,Long An,94,68,74,17,89,41,13,20,26,8,6,2,9,96,87,32,48,91
2025-07-19,Bình Phước,75,37,1,21,76,69,14,45,10,90,71,48,55,93,33,4,50,43
2025-07-19,Hậu Giang,22,41,14,68,93,52,1,33,76,64,52,24,87,58,36,51,79,52
2025-07-20,Tiền Giang,12,18,50,61,99,56,50,75,31,14,88,26,46,24,71,56,88,65
2025-07-20,Kiên Giang,58,33,34,98,46,40,60,19,39,36,27,88,79,19,89,6,90,54
2025-07-20,Đà Lạt,77,33,27,47,62,4,93,71,24,66,48,69,11,24,36,68,30,42
2025-07-21,TPHCM,94,47,48,3,49,70,29,21,41,41,28,95,86,3,90,0,62,8
2025-07-21,Đồng Tháp,91,92,81,3,45,32,42,2,85,27,28,12,55,96,23,57,58,41
2025-07-21,Cà Mau,37,63,94,29,9,97,21,31,12,67,72,12,53,30,74,45,33,70
2025-07-22,Bến Tre,6,83,67,83,22,35,54,35,36,16,0,51,96,71,6,26,20,38
2025-07-22,Vũng Tàu,64,57,5,79,29,93,30,26,78,89,6,40,43,36,47,9,76,45
2025-07-22,Bạc Liêu,81,20,55,61,75,72,85,84,53,53,92,81,44,10,28,53,92,84
2025-07-23,Đồng Nai,56,59,83,0,39,59,78,82,53,75,50,52,28,56,54,20,84,25
2025-07-23,Cần Thơ,32,77,84,13,6,79,17,6,98,49,46,60,50,75,23,60,85,54
2025-07-23,Sóc Trăng,61,30,93,79,56,35,48,15,93,68,38,48,46,82,90,79,93,75
2025-07-24,Tây Ninh,42,42,78,95,73,38,35,1,74,71,10,97,88,10,79,29,15,23
2025-07-24,An Giang,5,4,13,0,3,46,47,1,93,55,17,61,78,39,32,28,66,95
2025-07-24,Bình Thuận,0,51,25,97,71,64,22,7,37,63,10,22,3,14,53,1,82,63
2025-07-25,Vĩnh Long,16,21,54,82,85,40,18,13,0,95,97,43,31,19,89,15,52,22
