date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-08-07,Bình Định,368458,44151,49958,55165,93758,6244,58725,66076,7710,10714,83191,7960,9942,9596,6208,7856,961,30
2025-08-07,Quảng Trị,950528,20657,87799,87697,99411,50254,88317,58966,85334,53371,99366,56608,6857,3826,6482,8503,883,36
2025-08-07,Quảng Bình,45616,17803,5307,25893,71334,26904,9350,46156,36669,18565,98437,5298,2454,1066,650,1166,217,6
2025-08-08,Gia Lai,65878,47765,53993,98428,35348,80925,32129,56660,6232,37027,32270,73261,5709,571,2219,2252,55,16
2025-08-08,Ninh Thuận,102231,82318,51059,81634,76229,71322,4278,46008,28078,3093,95144,69814,8717,3586,5247,1217,207,13
2025-08-09,Đà Nẵng,607217,25300,93954,4579,37185,17856,47233,74128,18216,23964,51760,565,2939,6564,2805,8154,256,98
2025-08-09,Quảng Ngãi,372128,86817,84725,96774,18183,16349,2721,97250,26004,21333,90736,84502,7755,1437,8575,2544,781,33
2025-08-09,Đắk Nông,785639,7256,78367,65799,17223,36311,78536,12283,34500,36755,72749,91230,2766,7057,8884,6351,945,39
2025-08-10,Huế,601376,55302,23924,26490,90110,32850,50219,74768,33185,10076,37473,60029,8740,3616,25,1756,530,75
2025-08-10,Kon Tum,152981,90413,27388,73187,22651,17475,33263,45216,54752,13246,46948,53683,5642,4040,9415,2101,862,82
2025-08-10,Khánh Hòa,987034,4399,72991,44149,28665,75358,43808,79969,28559,56582,9190,92920,3505,2923,8729,965,544,2
2025-08-11,Huế,857798,42288,30227,36309,48728,6335,39604,81298,76680,93187,51127,7800,1770,5927,3206,3488,521,91
2025-08-11,Phú Yên,927,84668,90538,353,14150,15151,3008,18904,99471,52423,69027,57519,4341,5739,4164,4911,246,5
2025-08-12,Đắk Lắk,941126,55003,97059,91122,28088,64932,4463,26494,55711,75379,87673,27548,3779,6195,2146,101,330,58
2025-08-12,Quảng Nam,785398,44760,98640,17770,48616,33556,25493,10773,75086,60420,94222,65848,3302,5863,35,7985,102,10
2025-08-13,Đà Nẵng,724034,54854,95842,9696,75045,48631,89397,95917,47429,85642,35526,30717,1370,3634,9613,4779,486,48
2025-08-13,Khánh Hòa,235966,64115,99551,9711,80864,73035,45969,90574,87795,48714,53205,42470,8052,8691,6039,8689,473,63
2025-08-14,Bình Định,221816,69386,5112,27358,3335,85714,29847,43028,57414,50511,88459,6007,2381,761,6530,3141,248,73
2025-08-14,Quảng Trị,939537,94473,49849,42778,38079,42106,56886,33775,27670,11349,86000,75008,1948,6359,6268,6135,317,75
2025-08-14,Quảng Bình,11559,32625,24834,6259,82507,13293,9894,87533,12939,96900,53657,13858,7183,9152,2591,8462,708,70
